company_name,industry,funding_rounds,total_funding,job_postings_30d,employee_growth_pct,hiring_roles,industry_growth_rate,regional_employment_trend,funding_per_employee,days_since_last_funding,growth_momentum,is_hot_lead,funding_year,funding_month,funding_day,funding_weekday,funding_quarter
9973,2,1.911532703739588,3795597.04,10.99517729149392,-8.355216447945889,2,11.5,-0.2,-5930.620375,1317,45547164.48,0,2021,7,14,2,3
9938,1,3.221004606110911,5792195.29,5.052385433120287,20.60271750287051,1,23.9,10.5,2106.252832727273,1734,34753171.74,0,2020,5,23,5,2
14014,4,3.975965715441632,191991.0,5.008944809687312,0.4560126380694803,2,20.5,-1.5,1371.3642857142856,1750,959955.0,0,2020,5,7,3,2
12831,0,2.842381587332986,890042.57,9.882708546313149,1.2021420394622635,2,23.2,13.9,4238.297952380952,681,8010383.13,0,2023,4,11,1,2
3203,2,2.2643587806865657,3369725.77,11.461474567552298,22.63312627507298,1,9.0,8.6,1567.314311627907,330,40436709.24,1,2024,3,27,2,1
14637,1,4.875183911332977,2881335.43,6.869437299032791,32.667975707729966,1,21.0,1.0,752.30690078329,1252,20169348.01,0,2021,9,17,4,3
9405,0,0.9009923862500804,7941005.0,7.892017390378558,22.698967716738917,1,14.5,-3.6,3214.981781376518,1085,63528040.0,0,2022,3,3,3,1
3444,0,1.170316442042263,1716573.56,11.93109075620592,8.556497688522514,0,29.4,-1.2,1928.734337078652,1437,24032029.84,0,2021,3,16,1,1
6539,3,3.3379481901360792,178278.14,7.10084251633636,30.05827275756808,0,25.2,10.4,52.74501183431954,173,1426225.12,0,2024,8,31,5,3
10332,4,3.864426957211439,2266813.43,9.548881780180768,-2.02268217955688,0,14.4,9.2,-25186.81588888889,75,27201761.160000004,0,2024,12,7,5,4
13404,0,3.1344834274834827,2761687.49,8.107786746759444,31.686766990941614,3,7.2,12.5,791.3144670487106,319,22093499.92,0,2024,4,7,6,2
6255,4,2.9927884051999167,1305887.46,10.175551378515678,33.51079722037939,0,23.0,1.4,327.2900902255639,1742,14364762.06,0,2020,5,15,4,2
15095,2,2.01589806524683,10044109.18,14.482152850267202,7.127017518149598,1,14.2,1.7,13759.053671232876,284,140617528.51999998,0,2024,5,12,6,2
13118,0,3.227829558171684,4756102.92,7.073893734615198,30.58951502456571,0,27.6,-1.9,1596.007691275168,508,38048823.36,0,2023,10,1,6,4
16223,3,5.584658402754359,4808488.52,7.602670890518238,13.822680396695455,3,13.1,-1.0,2914.2354666666665,1140,43276396.67999999,0,2022,1,7,4,1
13417,2,2.8600191151926544,4799007.42,9.344894259123766,23.712762314777905,1,22.4,-2.9,1797.3810561797752,575,43191066.78,0,2023,7,26,2,3
7381,2,2.9090652272386555,4312393.19,14.927779929604435,27.865688444474188,3,22.5,-4.9,1627.3181849056605,1495,60373504.66,1,2021,1,17,6,1
408,0,5.107468976489388,5181058.75,15.818070627820852,1.5790561420335838,2,27.6,10.0,18503.78125,1517,72534822.5,0,2020,12,26,5,4
1067,1,5.227059387729502,1327427.37,11.096861974295956,4.531328734601058,0,21.2,10.8,2413.5043090909094,992,14601701.07,0,2022,6,4,5,2
9589,4,0.998784172125258,805935.13,11.208342222577445,-6.964377988846446,2,11.5,0.8,-1299.895370967742,401,8059351.3,0,2024,1,16,1,1
14966,2,3.06708834992954,8958057.42,10.575480342651222,-9.354576345228832,1,8.7,14.6,-10924.460268292683,1525,116454746.46,0,2020,12,18,4,4
15012,3,5.037552966036275,1042722.02,7.758334097495102,-4.667017010042938,0,22.5,-2.9,-2266.7870000000003,1128,8341776.16,0,2022,1,19,2,1
15842,2,4.646094055667941,7770933.08,6.548583702447491,4.774656892603601,0,28.1,11.6,15237.123686274512,892,54396531.56,0,2022,9,12,0,3
3749,1,3.520820396946673,1555763.1,8.658402554049701,-2.85358546755797,0,7.7,-2.2,-8188.226842105264,1318,12446104.8,0,2021,7,13,1,3
1254,1,1.8273596448361444,3161033.54,13.61440312375698,29.963226997622503,3,29.1,8.5,1060.7495100671142,1663,44254469.56,1,2020,8,2,6,3
4726,3,3.0265598692868947,3016151.11,9.225672557232103,7.694705736718399,0,17.8,13.4,2669.1602743362832,1044,27145359.99,0,2022,4,13,2,2
10123,0,2.165581788754302,8503908.06,9.57617340456708,-8.548125736183005,1,8.6,-4.6,-10498.651925925926,1239,68031264.48,0,2021,9,30,3,3
